Mes,Dia,Año,Fecha,Número,Tipo de servicio,Situación reportada,area,Fecha de corte,Estado,Orden de trabajo generada,Demora en respuesta,LAT,LNG
1,3,2022,03/01/2022,11487,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: recolección deficiente,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,10/01/2022,FINALIZADO,NO,7,-36.883.507,-60.302.673
1,3,2022,03/01/2022,11488,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio privado (baldío abierto),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,03/01/2022,PROCESO,NO,0,-36.879.612,-60.311.115
1,3,2022,03/01/2022,11489,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio público (veredas),DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,22/3/2022,FINALIZADO,NO,78,-36.904.404,-60.355.846
1,3,2022,03/01/2022,11490,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio público (veredas),DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,24/01/2022,FINALIZADO,NO,21,-36.899.929,-60.302.052
1,3,2022,03/01/2022,11491,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio público (veredas de terrenos cerrados),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,04/01/2022,PROCESO,NO,1,-36.899.460,-60.321.140
1,4,2022,04/01/2022,11492,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio privado (baldío abierto),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,7/3/2022,FINALIZADO,NO,62,-36.879.601,-60.318.020
1,4,2022,04/01/2022,11493,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: no hay recolección,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,17/01/2022,FINALIZADO,NO,13,-36.894.783,-60.340.336
1,4,2022,04/01/2022,11494,ZOONOSIS,Animales domésticos: sueltos en la via pública,DIRECCIÓN DE BROMATOLOGIA,11/01/2022,FINALIZADO,NO,7,-36.920.952,-60.290.825
1,4,2022,04/01/2022,11495,"PARQUES, PLAZAS Y ESPACIOS PÚBLICOS",Otra situación no contemplada,ATENCIÓN OLAVARRIA INTERACTIVA,04/01/2022,CANCELADO,NO,0,-36.878.384,-60.342.453
1,4,2022,04/01/2022,11496,ZOONOSIS,Animales domésticos: sueltos en la via pública,DIRECCIÓN DE BROMATOLOGIA,07/01/2022,FINALIZADO,NO,3,-36.912.636,-60.324.165
1,4,2022,04/01/2022,11497,TRÁNSITO,Estacionamiento: vehículos estacionados en lugar no permitido,DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,17/01/2022,FINALIZADO,NO,13,-36.889.236,-60.304.695
1,4,2022,04/01/2022,11498,HOSPITALES Y CENTROS PERIFÉRICOS DE SALUD,Otra situación no contemplada,DIRECCIÓN DE ADMINISTRACIÓN HOSPITALARIA,21/3/2022,FINALIZADO,NO,76,-36.884.972,-60.312.088
1,4,2022,04/01/2022,11499,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio privado (baldío abierto),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,04/01/2022,PROCESO,NO,0,-36.846.809,-60.242.439
1,5,2022,05/01/2022,11500,ZOONOSIS,Animales domésticos: sueltos en la via pública,DIRECCIÓN DE BROMATOLOGIA,05/01/2022,FINALIZADO,NO,0,-36.868.870,-60.160.141
1,5,2022,05/01/2022,11501,CONTROL AMBIENTAL,Olores y humos: en actividad agropecuaria,DIRECCIÓN DE DESARROLLO AGROPECUARIO,07/01/2022,FINALIZADO,NO,2,-36.926.201,-60.318.886
1,5,2022,05/01/2022,11502,CONTROL AMBIENTAL,Olores y humos: en actividad agropecuaria,DIRECCIÓN DE DESARROLLO AGROPECUARIO,07/01/2022,FINALIZADO,NO,2,-36.859.558,-60.160.557
1,5,2022,05/01/2022,11503,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio público (veredas),DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,05/01/2022,FINALIZADO,NO,0,-36.857.273,-60.164.349
1,5,2022,05/01/2022,11504,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio privado (baldío abierto),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,05/01/2022,PROCESO,NO,0,-36.846.821,-60.242.081
1,5,2022,05/01/2022,11505,CONTROL AMBIENTAL,Olores y humos: en actividad agropecuaria,DIRECCIÓN DE DESARROLLO SUSTENTABLE,07/01/2022,FINALIZADO,NO,2,-36.924.858,-60.317.352
1,5,2022,05/01/2022,11506,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio público (veredas),DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,18/01/2022,FINALIZADO,NO,13,-36.941.757,-60.157.623
1,5,2022,05/01/2022,11507,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: no hay recolección,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,12/01/2022,FINALIZADO,NO,7,-36.885.860,-60.302.399
1,5,2022,05/01/2022,11508,OBRAS PÚBLICAS,Agua: rotura de caño,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,10/01/2022,FINALIZADO,NO,5,-36.885.860,-60.302.399
1,6,2022,06/01/2022,11509,OBRAS PÚBLICAS,"Calles urbanas: calzada asfáltica rota, hundida o levantada",DIRECCIÓN DE MANTENIMIENTO URBANO,06/01/2022,PROCESO,NO,0,-36.882.008,-60.322.514
1,6,2022,06/01/2022,11510,ZOONOSIS,Animales domésticos: sueltos en la via pública,DIRECCIÓN DE BROMATOLOGIA,11/01/2022,FINALIZADO,NO,5,-36.900.784,-60.332.478
1,6,2022,06/01/2022,11511,HIGIENE Y CONTROL URBANO,Otra situación no contemplada,ATENCIÓN OLAVARRIA INTERACTIVA,17/01/2022,CANCELADO,NO,11,-36.896.912,-60.319.294
1,7,2022,07/01/2022,11512,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio privado (baldío abierto),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,07/01/2022,PROCESO,NO,0,-36.903.873,-60.296.467
1,7,2022,07/01/2022,11513,HABILITACIONES,Falta de habilitación,DIRECCIÓN DE HABILITACIONES,07/01/2022,PROCESO,NO,0,-36.933.167,-60.158.054
1,7,2022,07/01/2022,11514,OBRAS PÚBLICAS,Nomenclador de calles: solicitar nuevo o reposición,DIRECCIÓN DE DESARROLLO URBANO Y OBRAS CIVILES,07/01/2022,PROCESO,NO,0,-36.889.832,-60.339.115
1,10,2022,10/01/2022,11515,ZOONOSIS,Control de plagas / fumigación: roedores,DIRECCIÓN DE BROMATOLOGIA,16/02/2022,FINALIZADO,NO,37,-36.910.934,-60.323.792
1,10,2022,10/01/2022,11516,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio privado (baldío abierto),UNIDAD COORDINADORA DE REGISTRO DE OBRAS Y CATASTRO,10/01/2022,PROCESO,NO,0,-36.913.483,-60.323.284
1,10,2022,10/01/2022,11517,HIGIENE Y CONTROL URBANO,Recolección de residuos domiliciarios: no hay recolección,DIRECCIÓN DE CONTRALOR DE SERVICIOS PÚBLICOS,18/01/2022,FINALIZADO,NO,8,-36.902.351,-60.332.253
1,10,2022,10/01/2022,11518,HOSPITALES Y CENTROS PERIFÉRICOS DE SALUD,Otra situación no contemplada,ATENCIÓN OLAVARRIA INTERACTIVA,10/01/2022,CANCELADO,NO,0,-36.846.668,-60.232.738
1,10,2022,10/01/2022,11519,HOSPITALES Y CENTROS PERIFÉRICOS DE SALUD,Otra situación no contemplada,DIRECCIÓN DE ADMINISTRACIÓN HOSPITALARIA,21/3/2022,FINALIZADO,NO,70,-36.884.880,-60.312.950
1,11,2022,11/01/2022,11520,OBRAS PÚBLICAS,"Calles urbanas: calzada asfáltica rota, hundida o levantada",DIRECCIÓN DE MANTENIMIENTO URBANO,11/01/2022,PROCESO,NO,0,-36.900.097,-60.328.457
1,11,2022,11/01/2022,11521,HIGIENE Y CONTROL URBANO,Malezas o basura acumulada: en espacio público (veredas),DIRECCIÓN DE ACCIÓN Y CONTROL URBANO,12/01/2022,FINALIZADO,NO,1,-36.893.841,-60.315.769
1,11,2022,11/01/2022,11522,ZOONOSIS,Control de plagas / fumigación: insectos varios,DIRECCIÓN DE BROMATOLOGIA,13/01/2022,FINALIZADO,NO,2,-36.909.027,-60.292.019
